x-axis,1,2,3
second,Volt,Volt,Volt
+6.23800E-03,+96.22162E-03,+27.28024839E+00,-23.97934E-03
+6.25200E-03,+78.01061E-03,+27.38046505E+00,-26.07560E-03
+6.26600E-03,+63.32720E-03,+27.41435007E+00,-23.97934E-03
+6.28000E-03,+52.92952E-03,+27.55706365E+00,-23.97934E-03
+6.29400E-03,+43.62875E-03,+27.58147008E+00,-23.97934E-03
+6.30800E-03,+37.60436E-03,+27.63172133E+00,-23.97934E-03
+6.32200E-03,+31.31290E-03,+27.68369685E+00,-23.97934E-03
+6.33600E-03,+27.21959E-03,+27.78247510E+00,-23.97934E-03
+6.35000E-03,+23.79103E-03,+27.81837024E+00,-23.97934E-03
+6.36400E-03,+23.57569E-03,+27.86058131E+00,-23.97934E-03
+6.37800E-03,+26.43144E-03,+27.95304363E+00,-23.97934E-03
+6.39200E-03,+32.45587E-03,+27.94500344E+00,-23.97934E-03
+6.40600E-03,+42.08544E-03,+28.03373139E+00,-23.97934E-03
+6.42000E-03,+52.06820E-03,+28.08398264E+00,-23.97934E-03
+6.43400E-03,+62.72294E-03,+28.17213915E+00,-23.97934E-03
+6.44800E-03,+83.18250E-03,+28.18448516E+00,-23.97934E-03
+6.46200E-03,+98.54908E-03,+28.20631003E+00,-23.97934E-03
+6.47600E-03,+77.05128E-03,+28.28498767E+00,-23.97934E-03
+6.49000E-03,+34.53729E-03,+28.33523893E+00,-23.97934E-03
+6.50400E-03,-1.52571E-03,+28.43344574E+00,-23.97934E-03
+6.51800E-03,-24.03823E-03,+28.48599270E+00,-26.49190E-03
+6.53200E-03,-37.81707E-03,+28.51786788E+00,-24.89814E-03
+6.54600E-03,-47.86155E-03,+28.56007894E+00,-23.97934E-03
+6.56000E-03,-54.44304E-03,+28.65254127E+00,-26.49190E-03
+6.57400E-03,-58.70144E-03,+28.73724898E+00,-26.10417E-03
+6.58800E-03,-60.59374E-03,+28.73724898E+00,-26.49190E-03
+6.60200E-03,-58.50038E-03,+28.78750024E+00,-23.97934E-03
+6.61600E-03,-51.11196E-03,+28.85411745E+00,-23.97934E-03
+6.63000E-03,-34.63663E-03,+28.91384786E+00,-25.27159E-03
+6.64400E-03,-3.66301E-03,+28.93825401E+00,-23.97934E-03
+6.65800E-03,+42.68430E-03,+28.98850526E+00,-26.00366E-03
+6.67200E-03,+23.44012E-03,+29.04048106E+00,-23.97934E-03
+6.68600E-03,-36.08878E-03,+29.13294338E+00,-23.97934E-03
+6.70000E-03,-69.10214E-03,+29.17515445E+00,-23.97934E-03
+6.71400E-03,-86.61104E-03,+29.23976155E+00,-23.97934E-03
+6.72800E-03,-94.85796E-03,+29.29001280E+00,-24.97009E-03
+6.74200E-03,-100.27790E-03,+29.34026406E+00,-26.49190E-03
+6.75600E-03,-103.84859E-03,+29.43703192E+00,-23.97934E-03
+6.77000E-03,-106.74021E-03,+29.43646104E+00,-26.27662E-03
+6.78400E-03,-108.02088E-03,+29.52892336E+00,-23.97934E-03
+6.79800E-03,-109.38628E-03,+29.57113443E+00,-26.49190E-03
+6.81200E-03,-110.56216E-03,+29.64177160E+00,-23.97934E-03
+6.82600E-03,-111.41786E-03,+29.69202286E+00,-23.97934E-03
+6.84000E-03,-111.82272E-03,+29.78678060E+00,-23.97934E-03
+6.85400E-03,-111.36041E-03,+29.79252537E+00,-23.97934E-03
+6.86800E-03,-109.74518E-03,+29.82210541E+00,-23.97934E-03
+6.88200E-03,-105.96194E-03,+29.89302788E+00,-23.97934E-03
+6.89600E-03,-95.98055E-03,+29.94327914E+00,-25.30014E-03
+6.91000E-03,-92.30377E-03,+29.99353040E+00,-23.97934E-03
+6.92400E-03,-101.64765E-03,+30.04378165E+00,-23.97934E-03
+6.93800E-03,-107.57296E-03,+30.14399886E+00,-23.97934E-03
+6.95200E-03,-108.83637E-03,+30.14428417E+00,-24.39561E-03
+6.96600E-03,-109.25129E-03,+30.22842100E+00,-24.79762E-03
+6.98000E-03,-108.83637E-03,+30.29503794E+00,-23.97934E-03
+6.99400E-03,-108.24483E-03,+30.34528919E+00,-23.97934E-03
+7.00800E-03,-107.28001E-03,+30.39554045E+00,-23.97934E-03
+7.02200E-03,-106.07255E-03,+30.44751652E+00,-23.97934E-03
+7.03600E-03,-104.84785E-03,+30.49604296E+00,-23.97934E-03
+7.05000E-03,-103.20103E-03,+30.54629422E+00,-23.97934E-03
+7.06400E-03,-101.38336E-03,+30.62440098E+00,-23.97934E-03
+7.07800E-03,-99.24266E-03,+30.64679673E+00,-23.97934E-03
+7.09200E-03,-96.27356E-03,+30.70882311E+00,-23.97934E-03
+7.10600E-03,-93.95623E-03,+30.79755050E+00,-24.16608E-03
+7.12000E-03,-90.58077E-03,+30.84780176E+00,-23.97934E-03
+7.13400E-03,-87.79257E-03,+30.84780176E+00,-23.97934E-03
+7.14800E-03,-83.52115E-03,+30.92791863E+00,-23.97934E-03
+7.16200E-03,-79.28714E-03,+30.99855553E+00,-23.97934E-03
+7.17600E-03,-75.14358E-03,+31.01234077E+00,-23.97934E-03
+7.19000E-03,-70.27926E-03,+31.09905804E+00,-23.97934E-03
+7.20400E-03,-65.92893E-03,+31.14930930E+00,-23.97934E-03
+7.21800E-03,-61.05313E-03,+31.19956056E+00,-21.98354E-03
+7.23200E-03,-56.28069E-03,+31.24981181E+00,-23.97934E-03
+7.24600E-03,-50.59652E-03,+31.30006307E+00,-23.97934E-03
+7.26000E-03,-44.04090E-03,+31.35031433E+00,-21.46677E-03
+7.27400E-03,-36.95690E-03,+31.40056558E+00,-23.97934E-03
+7.28800E-03,-29.19953E-03,+31.45081684E+00,-23.96509E-03
+7.30200E-03,-21.27131E-03,+31.45081684E+00,-21.46677E-03
+7.31600E-03,-12.66972E-03,+31.55131935E+00,-21.46677E-03
+7.33000E-03,-4.65824E-03,+31.60157061E+00,-21.46677E-03
+7.34400E-03,+3.62751E-03,+31.66962734E+00,-21.46677E-03
+7.35800E-03,+12.51329E-03,+31.74255910E+00,-23.49107E-03
+7.37200E-03,+21.15800E-03,+31.75404947E+00,-23.89308E-03
+7.38600E-03,+30.76604E-03,+31.80889074E+00,-21.78253E-03
+7.40000E-03,+40.19461E-03,+31.90307815E+00,-22.18454E-03
+7.41400E-03,+51.09913E-03,+31.93093393E+00,-22.85956E-03
+7.42800E-03,+60.49611E-03,+31.95332941E+00,-22.45755E-03
+7.44200E-03,+68.69569E-03,+32.05383192E+00,-23.97934E-03
+7.45600E-03,+78.24771E-03,+32.05756713E+00,-23.97934E-03
+7.47000E-03,+86.97133E-03,+32.15002945E+00,-21.68202E-03
+7.48400E-03,+95.69494E-03,+32.15433443E+00,-23.36208E-03
+7.49800E-03,+105.21973E-03,+32.25483695E+00,-22.48604E-03
+7.51200E-03,+115.11923E-03,+32.30508820E+00,-22.88805E-03
+7.52600E-03,+123.62459E-03,+32.34155395E+00,-21.46677E-03
+7.54000E-03,+131.62317E-03,+32.40559072E+00,-23.97934E-03
+7.55400E-03,+139.52987E-03,+32.45584197E+00,-21.58152E-03
+7.56800E-03,+146.12995E-03,+32.45584197E+00,-21.46677E-03
+7.58200E-03,+152.67267E-03,+32.55634449E+00,-23.97934E-03
+7.59600E-03,+159.84997E-03,+32.65684700E+00,-22.78755E-03
+7.61000E-03,+165.41354E-03,+32.65684700E+00,-22.25656E-03
+7.62400E-03,+172.16589E-03,+32.70709826E+00,-21.46677E-03
+7.63800E-03,+178.58942E-03,+32.75763427E+00,-21.46677E-03
+7.65200E-03,+183.33456E-03,+32.81592571E+00,-21.46677E-03
+7.66600E-03,+188.32954E-03,+32.90810328E+00,-21.46677E-03
+7.68000E-03,+192.19026E-03,+32.95835454E+00,-21.46677E-03
+7.69400E-03,+195.71790E-03,+33.02641154E+00,-21.46677E-03
+7.70800E-03,+199.80399E-03,+33.10910831E+00,-21.46677E-03
+7.72200E-03,+203.25843E-03,+33.15763420E+00,-23.89307E-03
+7.73600E-03,+206.36396E-03,+33.20329600E+00,-23.66360E-03
+7.75000E-03,+209.46949E-03,+33.24550706E+00,-22.18452E-03
+7.76400E-03,+211.93322E-03,+33.25986208E+00,-22.58653E-03
+7.77800E-03,+213.82267E-03,+33.36036459E+00,-22.98854E-03
+7.79200E-03,+216.09687E-03,+33.41061585E+00,-21.46677E-03
+7.80600E-03,+218.06672E-03,+33.50738288E+00,-21.46677E-03
+7.82000E-03,+219.51254E-03,+33.55706491E+00,-23.76410E-03
+7.83400E-03,+221.19093E-03,+33.58693108E+00,-22.08402E-03
+7.84800E-03,+222.42133E-03,+33.64148704E+00,-21.46677E-03
+7.86200E-03,+223.79394E-03,+33.68369811E+00,-22.55807E-03
+7.87600E-03,+224.83197E-03,+33.71212339E+00,-21.46677E-03
+7.89000E-03,+225.58573E-03,+33.81262590E+00,-21.75405E-03
+7.90400E-03,+226.35098E-03,+33.86058257E+00,-21.58150E-03
+7.91800E-03,+226.39118E-03,+33.91312842E+00,-21.46677E-03
+7.93200E-03,+227.34453E-03,+33.96337967E+00,-23.97934E-03
+7.94600E-03,+227.83415E-03,+34.06388219E+00,-22.65858E-03
+7.96000E-03,+228.34955E-03,+34.07967809E+00,-21.46677E-03
+7.97400E-03,+228.67837E-03,+34.16438470E+00,-21.46677E-03
+7.98800E-03,+228.85633E-03,+34.16438470E+00,-21.46677E-03
+8.00200E-03,+229.68908E-03,+34.21463596E+00,-21.46677E-03
+8.01600E-03,+229.60583E-03,+34.26488721E+00,-21.46677E-03
+8.03000E-03,+230.10835E-03,+34.33954352E+00,-22.68703E-03
