nm;arb.u
600.13;461.0
600.52;460.0
600.92;458.0
601.32;457.0
601.71;456.0
602.11;454.0
602.50;454.0
602.90;452.0
603.29;451.0
603.69;449.0
604.09;448.0
604.48;446.0
604.88;445.0
605.27;444.0
605.67;441.0
606.06;440.0
606.46;438.0
606.85;437.0
607.25;435.0
607.64;432.0
608.04;432.0
608.43;431.0
608.83;429.0
609.22;426.0
609.62;426.0
610.01;423.0
610.41;422.0
610.80;420.0
611.20;420.0
611.59;417.0
611.99;415.0
612.38;414.0
612.78;411.0
613.17;409.0
613.56;408.0
613.96;405.0
614.35;403.0
614.75;402.0
615.14;399.0
615.54;398.0
615.93;395.0
616.32;392.0
616.72;390.0
617.11;388.0
617.51;385.0
617.90;383.0
618.29;382.0
618.69;379.0
619.08;377.0
619.47;374.0
619.87;371.0
620.26;370.0
620.65;368.0
621.05;365.0
621.44;363.0
621.83;361.0
622.23;358.0
622.62;358.0
623.01;355.0
623.41;354.0
623.80;352.0
624.19;351.0
624.58;348.0
624.98;347.0
625.37;345.0
625.76;343.0
626.15;341.0
626.55;339.0
626.94;338.0
627.33;336.0
627.72;333.0
628.12;332.0
628.51;330.0
628.90;328.0
629.29;327.0
629.69;324.0
630.08;323.0
630.47;322.0
630.86;319.0
631.25;318.0
631.65;317.0
632.04;317.0
632.43;314.0
632.82;314.0
633.21;314.0
633.60;313.0
633.99;313.0
634.39;313.0
634.78;312.0
635.17;313.0
635.56;314.0
635.95;314.0
636.34;314.0
636.73;314.0
637.13;315.0
637.52;317.0
637.91;318.0
638.30;318.0
638.69;319.0
639.08;320.0
639.47;320.0
639.86;322.0
640.25;323.0
640.64;324.0
641.03;325.0
641.42;327.0
641.81;327.0
642.20;327.0
642.59;329.0
642.98;330.0
643.37;331.0
643.76;332.0
644.16;332.0
644.55;333.0
644.94;335.0
645.33;336.0
645.71;336.0
646.10;338.0
646.49;339.0
646.88;340.0
647.27;341.0
647.66;341.0
648.05;343.0
648.44;343.0
648.83;344.0
649.22;344.0
649.61;346.0
650.00;346.0
650.39;346.0
650.78;348.0
651.17;349.0
651.56;349.0
651.95;349.0
652.33;349.0
652.72;352.0
653.11;351.0
653.50;352.0
653.89;353.0
654.28;353.0
654.67;354.0
655.06;354.0
655.44;354.0
655.83;354.0
656.22;355.0
656.61;356.0
657.00;356.0
657.39;357.0
657.77;357.0
658.16;358.0
658.55;358.0
658.94;360.0
659.33;360.0
659.71;361.0
660.10;362.0
660.49;363.0
660.88;363.0
661.27;363.0
661.65;363.0
662.04;365.0
662.43;365.0
662.82;366.0
663.20;366.0
663.59;366.0
663.98;368.0
664.37;368.0
664.75;368.0
665.14;368.0
665.53;369.0
665.91;370.0
666.30;370.0
666.69;371.0
667.07;371.0
667.46;372.0
667.85;372.0
668.24;372.0
668.62;373.0
669.01;373.0
669.39;373.0
669.78;374.0
670.17;374.0
670.55;375.0
670.94;375.0
671.33;376.0
671.71;375.0
672.10;375.0
672.49;375.0
672.87;376.0
673.26;377.0
673.64;377.0
674.03;376.0
674.42;377.0
674.80;377.0
675.19;377.0
675.57;377.0
675.96;378.0
676.34;377.0
676.73;378.0
677.11;378.0
677.50;377.0
677.89;377.0
678.27;378.0
678.66;378.0
679.04;378.0
679.43;378.0
679.81;379.0
680.20;379.0
680.58;379.0
680.97;378.0
681.35;379.0
681.74;379.0
682.12;377.0
682.51;378.0
682.89;378.0
683.28;378.0
683.66;379.0
684.04;377.0
684.43;377.0
684.81;377.0
685.20;377.0
685.58;377.0
685.97;377.0
686.35;377.0
686.73;377.0
687.12;377.0
687.50;377.0
687.89;377.0
688.27;377.0
688.65;375.0
689.04;376.0
689.42;375.0
689.81;375.0
690.19;374.0
690.57;374.0
690.96;374.0
691.34;373.0
691.72;372.0
692.11;372.0
692.49;372.0
692.87;367.0
693.26;360.0
693.64;344.0
