t (s),V (mV)
802.995,10.6699
803.996,10.6642
804.995,10.6592
805.995,10.652
806.995,10.6456
807.995,10.6403
808.995,10.6345
809.995,10.6267
810.995,10.6212
811.995,10.616
812.995,10.6099
813.994,10.6043
814.994,10.5983
815.995,10.5927
816.995,10.5875
817.994,10.5814
818.994,10.576
819.994,10.5702
820.994,10.5645
821.994,10.5579
822.994,10.5524
823.994,10.5465
824.994,10.5406
825.994,10.5352
826.994,10.5294
827.994,10.5237
828.994,10.5171
829.994,10.5121
830.994,10.5072
831.994,10.5014
832.994,10.4964
833.994,10.4915
834.994,10.4853
835.994,10.4806
836.994,10.4751
837.994,10.4704
838.994,10.4646
839.994,10.4597
840.994,10.4533
841.994,10.4481
842.994,10.4433
843.994,10.4368
844.994,10.4317
845.994,10.4281
846.994,10.4206
847.994,10.4146
848.994,10.4085
849.994,10.4027
850.994,10.4003
851.994,10.3941
852.994,10.3861
853.994,10.3797
854.994,10.3745
855.994,10.3689
856.994,10.3618
857.994,10.3562
858.994,10.3503
859.994,10.3451
860.994,10.3389
861.994,10.3328
862.994,10.3269
863.994,10.3209
864.994,10.3148
865.994,10.3085
866.994,10.3023
867.994,10.2966
868.994,10.2901
869.994,10.2835
870.994,10.2765
871.994,10.2712
872.994,10.263
873.994,10.2565
874.994,10.2515
875.994,10.2448
876.994,10.2387
877.994,10.2316
878.994,10.2268
879.994,10.2205
880.994,10.2145
881.994,10.2089
882.994,10.2042
883.994,10.1975
884.994,10.1925
885.994,10.1876
886.994,10.1815
887.994,10.1756
888.994,10.1715
889.994,10.1656
890.994,10.1601
891.994,10.1561
892.994,10.1498
893.994,10.1464
894.994,10.1408
895.994,10.1365
896.994,10.1317
897.994,10.1264
898.994,10.1207
899.994,10.1163
900.994,10.1101
901.994,10.1048
902.994,10.0996
903.994,10.0937
904.994,10.0875
905.994,10.0828
906.994,10.0761
907.994,10.0701
908.994,10.0652
909.994,10.0591
910.994,10.0542
911.994,10.0471
912.994,10.0417
913.994,10.0351
