Time;Sec;Object Name;Status;Value
9:45:23;76;TIC Turbo Power;;6.5
9:45:23;76;TIC Gauge 1;11;100000
9:45:23;76;TIC Gauge 2;5;9900000000
9:45:24;77;TIC Gauge 3;5;9900000000
9:45:25;78;TIC Turbo Speed;;1.6
9:45:25;78;TIC Turbo Power;;7.3
9:45:25;78;TIC Gauge 1;11;100000
9:45:25;78;TIC Gauge 2;5;9900000000
9:45:26;79;TIC Gauge 3;5;9900000000
9:45:27;80;TIC Turbo Speed;;1.6
9:45:27;80;TIC Turbo Power;;8
9:45:27;80;TIC Gauge 1;11;100000
9:45:28;81;TIC Gauge 2;5;9900000000
9:45:28;81;TIC Gauge 3;5;9900000000
9:45:29;82;TIC Turbo Speed;;1.6
9:45:29;82;TIC Turbo Power;;6.1
9:45:30;83;TIC Gauge 1;11;37280
9:45:30;83;TIC Gauge 2;5;9900000000
9:45:30;83;TIC Gauge 3;5;9900000000
9:45:32;85;TIC Turbo Speed;;1.6
9:45:32;85;TIC Turbo Power;;7.5
9:45:32;85;TIC Gauge 1;11;12142
9:45:32;85;TIC Gauge 2;5;9900000000
9:45:32;85;TIC Gauge 3;5;9900000000
9:45:34;87;TIC Turbo Speed;;1.6
9:45:34;87;TIC Turbo Power;;8
9:45:34;87;TIC Gauge 1;11;5609.7
9:45:34;87;TIC Gauge 2;5;9900000000
9:45:34;87;TIC Gauge 3;5;9900000000
9:45:36;89;TIC Gauge 2;5;9900000000
9:45:36;89;TIC Turbo Speed;;1.6
9:45:36;89;TIC Turbo Power;;8
9:45:36;89;TIC Gauge 3;5;9900000000
9:45:36;89;TIC Gauge 1;11;2810.3
9:45:38;91;TIC Turbo Speed;;1.6
9:45:38;91;TIC Turbo Power;;7
9:45:38;91;TIC Gauge 1;11;1468.4
9:45:38;91;TIC Gauge 2;5;9900000000
9:45:38;91;TIC Gauge 3;5;9900000000
9:45:40;93;TIC Turbo Speed;;1.6
9:45:40;93;TIC Turbo Power;;5.8
9:45:40;93;TIC Gauge 1;11;776.1
9:45:40;93;TIC Gauge 2;5;9900000000
9:45:40;93;TIC Gauge 3;5;9900000000
9:45:42;95;TIC Turbo Speed;;1.6
9:45:42;95;TIC Turbo Power;;6.1
9:45:42;95;TIC Gauge 1;11;480.5
9:45:42;95;TIC Gauge 2;5;9900000000
9:45:42;95;TIC Gauge 3;5;9900000000
9:45:44;97;TIC Gauge 2;5;9900000000
9:45:44;97;TIC Turbo Speed;;1.6
9:45:44;97;TIC Turbo Power;;6.1
9:45:44;97;TIC Gauge 3;5;9900000000
9:45:44;97;TIC Gauge 1;11;271.32
9:45:46;99;TIC Turbo Speed;;1.6
9:45:46;99;TIC Turbo Power;;8
9:45:46;99;TIC Gauge 1;11;160.7
9:45:46;99;TIC Gauge 2;5;9900000000
9:45:46;99;TIC Gauge 3;5;9900000000
9:45:48;101;TIC Gauge 1;11;103.23
9:45:48;101;TIC Turbo Speed;;1.6
9:45:48;101;TIC Turbo Power;;7
9:45:48;101;TIC Gauge 2;5;9900000000
9:45:48;101;TIC Gauge 3;5;9900000000
9:45:50;103;TIC Gauge 1;11;69.219
9:45:50;103;TIC Turbo Speed;;1.6
9:45:50;103;TIC Turbo Power;;7.3
9:45:50;103;TIC Gauge 2;5;9900000000
9:45:50;103;TIC Gauge 3;5;9900000000
9:45:52;105;TIC Gauge 2;5;9900000000
9:45:52;105;TIC Turbo Speed;;1.6
9:45:52;105;TIC Turbo Power;;7.3
9:45:52;105;TIC Gauge 3;5;9900000000
9:45:52;105;TIC Gauge 1;11;50.221
9:45:54;107;TIC Turbo Speed;;1.6
9:45:54;107;TIC Turbo Power;;8.7
9:45:54;107;TIC Gauge 1;11;38.82
9:45:54;107;TIC Gauge 2;5;9900000000
9:45:54;107;TIC Gauge 3;5;9900000000
9:45:56;109;TIC Turbo Speed;;1.6
9:45:56;109;TIC Turbo Power;;8
9:45:56;109;TIC Gauge 1;11;32.65
9:45:56;109;TIC Gauge 2;5;9900000000
9:45:56;109;TIC Gauge 3;5;9900000000
9:45:58;111;TIC Turbo Speed;;1.6
9:45:58;111;TIC Turbo Power;;6.1
9:45:58;111;TIC Gauge 1;11;27.311
9:45:58;111;TIC Gauge 2;5;9900000000
9:45:59;112;TIC Gauge 3;5;9900000000
9:46:00;113;TIC Turbo Speed;;1.6
9:46:00;113;TIC Turbo Power;;7.5
9:46:00;113;TIC Gauge 1;11;24.112
9:46:01;114;TIC Gauge 2;5;9900000000
9:46:01;114;TIC Gauge 3;5;9900000000
9:46:02;115;TIC Turbo Speed;;1.6
9:46:02;115;TIC Turbo Power;;7.5
9:46:02;115;TIC Gauge 1;11;21.374
9:46:03;116;TIC Gauge 2;5;9900000000
9:46:03;116;TIC Gauge 3;5;9900000000
