lambda I
680.5136496669724 -326.547038327526
680.6216398558456 -298.547038327526
680.7296197797049 -386.547038327526
680.8375894299068 -202.54703832752602
680.9455487978078 -222.54703832752602
681.0534978747644 -242.54703832752602
681.1614366521333 -266.547038327526
681.2693651212709 -238.54703832752602
681.3772832735339 -210.54703832752602
681.4851911002788 -314.547038327526
681.5930885928623 -286.547038327526
681.7009757426407 -258.547038327526
681.8088525409709 -250.54703832752602
681.916718979209 -282.547038327526
682.024575048712 -314.547038327526
682.1324207408362 -298.547038327526
682.2402560469383 -410.547038327526
682.3480809583746 -346.547038327526
682.4558954665019 -282.547038327526
682.5636995626769 -362.547038327526
682.6714932382558 -394.547038327526
682.7792764845955 -426.547038327526
682.8870492930523 -514.547038327526
682.9948116549829 -446.547038327526
683.1025635617436 -378.547038327526
683.2103050046915 -418.547038327526
683.3180359751825 -330.547038327526
683.4257564645736 -326.547038327526
683.5334664642213 -322.547038327526
683.6411659654821 -290.547038327526
683.7488549597126 -546.547038327526
683.8565334382693 -338.547038327526
683.9642013925087 -410.547038327526
684.0718588137875 -482.547038327526
684.1795056934621 -338.547038327526
684.2871420228893 -338.547038327526
684.3947677934254 -222.54703832752602
684.5023829964273 -350.547038327526
684.6099876232512 -266.547038327526
684.7175816652538 -218.54703832752602
684.8251651137916 -170.54703832752602
684.9327379602213 -290.547038327526
685.0403001958994 -434.547038327526
685.1478518121824 -330.547038327526
685.2553928004269 -338.547038327526
685.3629231519894 -394.547038327526
685.4704428582265 -350.547038327526
685.5779519104949 -306.547038327526
685.685450300151 -418.547038327526
685.7929380185514 -386.547038327526
685.9004150570526 -354.547038327526
686.0078814070113 -266.547038327526
686.1153370597838 -282.547038327526
686.222782006727 -330.547038327526
686.3302162391972 -378.547038327526
686.4376397485511 -322.547038327526
686.5450525261451 -262.547038327526
686.6524545633359 -202.54703832752602
686.7598458514801 -226.54703832752602
686.8672263819342 -242.54703832752602
686.9745961460548 -258.547038327526
687.0819551351983 -250.54703832752602
687.1893033407214 -278.547038327526
687.2966407539806 -306.547038327526
687.4039673663325 -258.547038327526
687.5112831691337 -370.547038327526
687.6185881537406 -170.54703832752602
687.7258823115098 -330.547038327526
687.833165633798 -318.547038327526
687.9404381119618 -306.547038327526
688.0476997373576 -402.547038327526
688.1549505013419 -290.547038327526
688.2621903952714 -390.547038327526
688.3694194105026 -314.547038327526
688.4766375383921 -314.547038327526
688.5838447702965 -374.547038327526
688.6910410975722 -434.547038327526
688.7982265115759 -410.547038327526
688.9054010036641 -378.547038327526
689.0125645651934 -354.547038327526
689.1197171875203 -330.547038327526
689.2268588620014 -290.547038327526
689.3339895799933 -262.547038327526
689.4411093328524 -234.54703832752602
689.5482181119355 -274.547038327526
689.655315908599 -354.547038327526
689.7624027141994 -338.547038327526
689.8694785200935 -322.547038327526
689.9765433176376 -514.547038327526
690.0835970981884 -266.547038327526
690.1906398531025 -298.547038327526
690.2976715737362 -298.547038327526
690.4046922514465 -354.547038327526
690.5117018775895 -410.547038327526
690.6187004435221 -394.547038327526
690.7256879406007 -406.547038327526
690.8326643601818 -418.547038327526
690.939629693622 -314.547038327526
691.046583932278 -242.54703832752602
691.1535270675063 -266.547038327526
691.2604590906634 -290.547038327526
691.3673799931059 -194.54703832752602
691.4742897661903 -250.54703832752602
691.5811884012732 -306.547038327526
691.6880758897112 -194.54703832752602
691.7949522228607 -346.547038327526
691.9018173920784 -266.547038327526
692.008671388721 -386.547038327526
692.1155142041448 -458.547038327526
692.2223458297065 -306.547038327526
692.3291662567625 -330.547038327526
692.4359754766695 -278.547038327526
692.5427734807841 -370.547038327526
692.6495602604629 -306.547038327526
692.7563358070622 -394.547038327526
692.8631001119386 -290.547038327526
692.969853166449 -386.547038327526
693.0765949619497 -378.547038327526
693.1833254897972 -338.547038327526
693.2900447413482 -362.547038327526
693.3967527079592 -386.547038327526
693.5034493809867 -258.547038327526
693.6101347517874 -386.547038327526
693.7168088117178 -354.547038327526
693.8234715521345 -274.547038327526
693.9301229643938 -314.547038327526
694.0367630398526 -218.54703832752602
694.1433917698674 -274.547038327526
694.2500091457946 -266.547038327526
694.356615158991 -258.547038327526
694.4632098008127 -298.547038327526
694.5697930626168 -286.547038327526
694.6763649357596 -274.547038327526
694.7829254115975 -282.547038327526
694.8894744814875 -370.547038327526
694.9960121367857 -338.547038327526
695.102538368849 -346.547038327526
695.2090531690337 -322.547038327526
695.3155565286966 -322.547038327526
695.422048439194 -302.547038327526
695.5285288918827 -282.547038327526
695.6349978781191 -258.547038327526
695.7414553892598 -330.547038327526
695.8479014166614 -322.547038327526
695.9543359516805 -266.547038327526
696.0607589856736 -290.547038327526
696.1671705099972 -282.547038327526
696.2735705160079 -274.547038327526
696.3799589950623 -354.547038327526
696.486335938517 -322.547038327526
696.5927013377284 -374.547038327526
696.6990551840531 -426.547038327526
696.8053974688478 -346.547038327526
696.911728183469 -330.547038327526
697.0180473192731 -394.547038327526
697.1243548676168 -354.547038327526
697.2306508198568 -354.547038327526
697.3369351673493 -282.547038327526
697.4432079014513 -298.547038327526
697.549469013519 -326.547038327526
697.655718494909 -354.547038327526
697.7619563369781 -330.547038327526
697.8681825310827 -386.547038327526
697.9743970685793 -322.547038327526
698.0805999408245 -274.547038327526
698.1867911391749 -314.547038327526
698.2929706549871 -274.547038327526
698.3991384796175 -258.547038327526
698.5052946044228 -346.547038327526
698.6114390207597 -362.547038327526
698.7175717199843 -442.547038327526
698.8236926934536 -306.547038327526
698.929801932524 -186.54703832752602
699.0358994285519 -234.54703832752602
699.1419851728942 -274.547038327526
699.2480591569072 -314.547038327526
699.3541213719475 -386.547038327526
699.4601718093718 -394.547038327526
699.5662104605365 -354.547038327526
699.6722373167983 -378.547038327526
699.7782523695134 -378.547038327526
699.8842556100388 -346.547038327526
699.990247029731 -418.547038327526
700.0962266199464 -394.547038327526
700.2021943720415 -354.547038327526
700.3081502773731 -314.547038327526
700.4140943272976 -258.547038327526
700.5200265131715 -362.547038327526
700.6259468263515 -466.547038327526
700.7318552581941 -378.547038327526
700.8377518000559 -386.547038327526
700.9436364432934 -394.547038327526
701.0495091792632 -346.547038327526
701.1553699993218 -418.547038327526
701.2612188948258 -434.547038327526
701.3670558571318 -418.547038327526
701.4728808775965 -402.547038327526
701.578693947576 -466.547038327526
701.6844950584273 -314.547038327526
701.7902842015067 -250.54703832752602
701.8960613681709 -310.547038327526
702.0018265497765 -370.547038327526
702.10757973768 -322.547038327526
702.2133209232378 -402.547038327526
702.3190500978067 -330.547038327526
702.4247672527431 -402.547038327526
702.5304723794036 -266.547038327526
702.6361654691448 -354.547038327526
702.7418465133233 -390.547038327526
702.8475155032954 -426.547038327526
702.9531724304181 -378.547038327526
703.0588172860477 -282.547038327526
703.1644500615406 -186.54703832752602
703.2700707482536 -178.54703832752602
703.3756793375433 -198.54703832752602
703.481275820766 -218.54703832752602
703.5868601892785 -314.547038327526
703.6924324344373 -314.547038327526
703.7979925475987 -314.547038327526
703.9035405201197 -466.547038327526
