lambda I
663.875479772102 -277.1393728222997
663.9849386797432 -245.13937282229972
664.0943886448167 -265.1393728222997
664.2038296586792 -285.1393728222997
664.3132617126872 -133.13937282229972
664.4226847981973 -165.13937282229972
664.532098906566 -197.13937282229972
664.6415040291502 -69.13937282229972
664.7509001573059 -101.13937282229972
664.8602872823899 -113.13937282229972
664.9696653957589 -125.13937282229972
665.0790344887694 -37.13937282229972
665.1883945527777 -285.1393728222997
665.2977455791407 -133.13937282229972
665.4070875592149 -157.13937282229972
665.5164204843567 -181.13937282229972
665.6257443459228 -117.13937282229972
665.7350591352696 -133.13937282229972
665.8443648437539 -81.13937282229972
665.953661462732 -173.13937282229972
666.0629489835608 -117.13937282229972
666.1722273975963 -105.13937282229972
666.2814966961957 -93.13937282229972
666.3907568707152 -69.13937282229972
666.5000079125114 -81.13937282229972
666.6092498129408 -93.13937282229972
666.7184825633601 -149.13937282229972
666.8277061551258 -125.13937282229972
666.9369205795945 18.86062717770028
667.0461258281226 -77.13937282229972
667.1553218920669 -181.13937282229972
667.2645087627837 -93.13937282229972
667.37368643163 -97.13937282229972
667.4828548899617 -101.13937282229972
667.5920141291359 -133.13937282229972
667.701164140509 -85.13937282229972
667.8103049154374 -37.13937282229972
667.9194364452779 -53.13937282229972
668.028558721387 -73.13937282229972
668.1376717351211 -93.13937282229972
668.246775477837 -109.13937282229972
668.355869940891 -157.13937282229972
668.4649551156398 -53.13937282229972
668.57403099344 -125.13937282229972
668.6830975656482 -129.13937282229972
668.7921548236206 -133.13937282229972
668.9012027587142 -133.13937282229972
669.0102413622855 -173.13937282229972
669.1192706256908 -201.13937282229972
669.2282905402868 -229.13937282229972
669.3373010974301 -181.13937282229972
669.4463022884772 -173.13937282229972
669.5552941047847 -165.13937282229972
669.6642765377093 -213.13937282229972
669.7732495786072 -229.13937282229972
669.8822132188352 -245.13937282229972
669.9911674497499 -141.13937282229972
670.1001122627077 -101.13937282229972
670.2090476490653 -213.13937282229972
670.3179736001791 -213.13937282229972
670.4268901074058 -161.13937282229972
670.5357971621021 -109.13937282229972
670.6446947556242 -61.13937282229972
670.7535828793289 -21.13937282229972
670.8624615245726 -33.13937282229972
670.971330682712 -45.13937282229972
671.0801903451037 -117.13937282229972
671.1890405031041 -221.13937282229972
671.2978811480699 -177.13937282229972
671.4067122713575 -133.13937282229972
671.5155338643236 -81.13937282229972
671.6243459183248 -29.13937282229972
671.7331484247175 -77.13937282229972
671.8419413748583 -205.13937282229972
671.9507247601039 -217.13937282229972
672.0594985718105 -229.13937282229972
672.1682628013351 -157.13937282229972
672.2770174400341 -145.13937282229972
672.3857624792639 -133.13937282229972
672.4944979103814 -181.13937282229972
672.6032237247427 -161.13937282229972
672.7119399137048 -141.13937282229972
672.8206464686239 -101.13937282229972
672.9293433808568 -45.13937282229972
673.0380306417601 -65.13937282229972
673.14670824269 -85.13937282229972
673.2553761750036 2.8606271777002803
673.3640344300569 -77.13937282229972
673.4726829992069 -157.13937282229972
673.5813218738099 -77.13937282229972
673.6899510452225 -41.13937282229972
673.7985705048014 -5.13937282229972
673.9071802439031 -93.13937282229972
674.015780253884 -77.13937282229972
674.1243705261008 -61.13937282229972
674.23295105191 -117.13937282229972
674.3415218226684 -73.13937282229972
674.4500828297321 -181.13937282229972
674.558634064458 -133.13937282229972
674.6671755182026 -165.13937282229972
674.7757071823225 -117.13937282229972
674.8842290481741 -157.13937282229972
674.9927411071142 -141.13937282229972
675.1012433504991 -125.13937282229972
675.2097357696855 -117.13937282229972
675.3182183560299 -157.13937282229972
675.4266911008889 -165.13937282229972
675.535153995619 -173.13937282229972
675.643607031577 -125.13937282229972
675.7520502001191 -189.13937282229972
675.860483492602 -113.13937282229972
675.9689069003823 -189.13937282229972
676.0773204148167 -85.13937282229972
676.1857240272615 -197.13937282229972
676.2941177290734 -85.13937282229972
676.4025015116089 -133.13937282229972
676.5108753662246 -253.13937282229972
676.619239284277 -173.13937282229972
676.7275932571227 -85.13937282229972
676.8359372761184 -165.13937282229972
676.9442713326205 -109.13937282229972
677.0525954179855 -141.13937282229972
677.16090952357 -221.13937282229972
677.2692136407306 -221.13937282229972
677.377507760824 -221.13937282229972
677.4857918752066 -245.13937282229972
677.5940659752348 -185.13937282229972
677.7023300522654 -125.13937282229972
677.8105840976551 -237.13937282229972
677.9188281027601 -125.13937282229972
678.0270620589371 -141.13937282229972
678.1352859575427 -149.13937282229972
678.2434997899335 -61.13937282229972
678.351703547466 -109.13937282229972
678.4598972214966 -205.13937282229972
678.5680808033821 -237.13937282229972
678.676254284479 -269.1393728222997
678.7844176561439 -221.13937282229972
678.8925709097332 -61.13937282229972
679.0007140366035 -165.13937282229972
679.1088470281115 -29.13937282229972
679.2169698756136 -45.13937282229972
679.3250825704665 -101.13937282229972
679.4331851040267 -157.13937282229972
679.5412774676507 -165.13937282229972
679.6493596526951 -173.13937282229972
679.7574316505165 -173.13937282229972
679.8654934524714 -125.13937282229972
679.9735450499164 -77.13937282229972
680.0815864342081 -69.13937282229972
680.1896175967029 -149.13937282229972
680.2976385287576 -173.13937282229972
680.4056492217285 -193.13937282229972
680.5136496669724 -213.13937282229972
680.6216398558456 -205.13937282229972
680.7296197797049 -149.13937282229972
680.8375894299068 -157.13937282229972
680.9455487978078 -125.13937282229972
681.0534978747644 -181.13937282229972
681.1614366521333 -237.13937282229972
681.2693651212709 -165.13937282229972
681.3772832735339 -169.13937282229972
681.4851911002788 -173.13937282229972
681.5930885928623 -157.13937282229972
681.7009757426407 -37.13937282229972
681.8088525409709 -117.13937282229972
681.916718979209 -21.13937282229972
682.024575048712 -157.13937282229972
682.1324207408362 -301.1393728222997
682.2402560469383 -133.13937282229972
682.3480809583746 -77.13937282229972
682.4558954665019 -73.13937282229972
682.5636995626769 -69.13937282229972
682.6714932382558 -205.13937282229972
682.7792764845955 -189.13937282229972
682.8870492930523 -21.13937282229972
