lambda I
656.5218146556192 -54.05923344947723
656.6318530255306 -114.05923344947723
656.7418830319851 -174.05923344947723
656.8519046663391 -198.05923344947723
656.9619179199492 -98.05923344947723
657.0719227841718 -358.05923344947723
657.1819192503635 -262.05923344947723
657.2919073098811 -358.05923344947723
657.401886954081 -274.05923344947723
657.5118581743196 -190.05923344947723
657.6218209619537 -262.05923344947723
657.7317753083398 -314.05923344947723
657.8417212048344 -366.05923344947723
657.9516586427941 -278.05923344947723
658.0615876135755 -274.05923344947723
658.171508108535 -270.05923344947723
658.2814201190292 -302.05923344947723
658.3913236364149 -314.05923344947723
658.5012186520485 -326.05923344947723
658.6111051572864 -222.05923344947723
658.7209831434855 -166.05923344947723
658.830852602002 -162.05923344947723
658.9407135241926 -158.05923344947723
659.0505659014141 -110.05923344947723
659.1604097250226 -326.05923344947723
659.270244986375 -270.05923344947723
659.3800716768277 -278.05923344947723
659.4898897877374 -286.05923344947723
659.5996993104607 -198.05923344947723
659.7095002363537 -246.05923344947723
659.8192925567736 -262.05923344947723
659.9290762630766 -214.05923344947723
660.0388513466193 -238.05923344947723
660.1486177987582 -262.05923344947723
660.25837561085 -230.05923344947723
660.3681247742512 -310.05923344947723
660.4778652803184 -318.05923344947723
660.587597120408 -318.05923344947723
660.6973202858768 -318.05923344947723
660.8070347680812 -302.05923344947723
660.9167405583777 -338.05923344947723
661.026437648123 -374.05923344947723
661.1361260286736 -350.05923344947723
661.2458056913862 -326.05923344947723
661.3554766276171 -302.05923344947723
661.465138828723 -254.05923344947723
661.5747922860604 -274.05923344947723
661.6844369909861 -294.05923344947723
661.7940729348563 -206.05923344947723
661.9037001090278 -326.05923344947723
662.013318504857 -230.05923344947723
662.1229281137007 -298.05923344947723
662.2325289269152 -214.05923344947723
662.3421209358572 -186.05923344947723
662.4517041318832 -158.05923344947723
662.5612785063497 -198.05923344947723
662.6708440506135 -310.05923344947723
662.780400756031 -222.05923344947723
662.8899486139587 -342.05923344947723
662.9994876157532 -302.05923344947723
663.109017752771 -286.05923344947723
663.2185390163689 -270.05923344947723
663.3280513979032 -254.05923344947723
663.4375548887307 -282.05923344947723
663.5470494802078 -310.05923344947723
663.6565351636909 -182.05923344947723
663.7660119305368 -222.05923344947723
663.875479772102 -366.05923344947723
663.9849386797432 -294.05923344947723
664.0943886448167 -174.05923344947723
664.2038296586792 -270.05923344947723
664.3132617126872 -226.05923344947723
664.4226847981973 -182.05923344947723
664.532098906566 -238.05923344947723
664.6415040291502 -218.05923344947723
664.7509001573059 -198.05923344947723
664.8602872823899 -318.05923344947723
664.9696653957589 -206.05923344947723
665.0790344887694 -254.05923344947723
665.1883945527777 -214.05923344947723
665.2977455791407 -174.05923344947723
665.4070875592149 -142.05923344947723
665.5164204843567 -214.05923344947723
665.6257443459228 -182.05923344947723
665.7350591352696 -294.05923344947723
665.8443648437539 -190.05923344947723
665.953661462732 -222.05923344947723
666.0629489835608 -254.05923344947723
666.1722273975963 -190.05923344947723
666.2814966961957 -238.05923344947723
666.3907568707152 -230.05923344947723
666.5000079125114 -150.05923344947723
666.6092498129408 -246.05923344947723
666.7184825633601 -326.05923344947723
666.8277061551258 -190.05923344947723
666.9369205795945 -222.05923344947723
667.0461258281226 -206.05923344947723
667.1553218920669 -234.05923344947723
667.2645087627837 -262.05923344947723
667.37368643163 -294.05923344947723
667.4828548899617 -214.05923344947723
667.5920141291359 -222.05923344947723
667.701164140509 -254.05923344947723
667.8103049154374 -230.05923344947723
667.9194364452779 -222.05923344947723
668.028558721387 -246.05923344947723
668.1376717351211 -274.05923344947723
668.246775477837 -302.05923344947723
668.355869940891 -246.05923344947723
668.4649551156398 -158.05923344947723
668.57403099344 -190.05923344947723
668.6830975656482 -222.05923344947723
668.7921548236206 -254.05923344947723
668.9012027587142 -254.05923344947723
669.0102413622855 -270.05923344947723
669.1192706256908 -286.05923344947723
669.2282905402868 -334.05923344947723
669.3373010974301 -294.05923344947723
669.4463022884772 -254.05923344947723
669.5552941047847 -214.05923344947723
669.6642765377093 -278.05923344947723
669.7732495786072 -278.05923344947723
669.8822132188352 -258.05923344947723
669.9911674497499 -238.05923344947723
670.1001122627077 -174.05923344947723
670.2090476490653 -286.05923344947723
670.3179736001791 -318.05923344947723
670.4268901074058 -302.05923344947723
670.5357971621021 -206.05923344947723
670.6446947556242 -166.05923344947723
670.7535828793289 -182.05923344947723
670.8624615245726 -206.05923344947723
670.971330682712 -230.05923344947723
671.0801903451037 -254.05923344947723
671.1890405031041 -222.05923344947723
671.2978811480699 -230.05923344947723
671.4067122713575 -238.05923344947723
671.5155338643236 -254.05923344947723
671.6243459183248 -230.05923344947723
671.7331484247175 -206.05923344947723
671.8419413748583 -270.05923344947723
671.9507247601039 -214.05923344947723
672.0594985718105 -286.05923344947723
672.1682628013351 -214.05923344947723
672.2770174400341 -250.05923344947723
672.3857624792639 -286.05923344947723
672.4944979103814 -246.05923344947723
672.6032237247427 -254.05923344947723
672.7119399137048 -262.05923344947723
672.8206464686239 -150.05923344947723
672.9293433808568 -166.05923344947723
673.0380306417601 -254.05923344947723
673.14670824269 -142.05923344947723
673.2553761750036 -230.05923344947723
673.3640344300569 -286.05923344947723
673.4726829992069 -270.05923344947723
673.5813218738099 -310.05923344947723
