v	A
5.29289246	0.00183398
5.30481339	0.00302094
5.31673431	0.00435399
5.32865524	0.00499731
5.34057617	0.00398795
5.35249710	0.00297331
5.36441803	0.00211692
5.37633896	0.00094461
5.38825989	0.00080704
5.40018082	0.00111519
5.41210175	0.00141827
5.42402267	0.00129765
5.43594360	0.00079043
5.44786453	0.00088517
5.45978546	0.00102164
5.47170639	0.00093615
5.48362732	0.00091009
5.49554825	0.00099672
5.50746918	0.00133436
5.51939011	0.00122039
5.53131104	0.00055426
5.54323196	0.00130025
5.55515289	0.00142463
5.56707382	0.00099161
5.57899475	0.00143752
5.59091568	0.00116238
5.60283661	0.00061416
5.61475754	0.00091735
5.62667847	0.00246088
5.63859940	0.00502531
5.65052032	0.00617649
5.66244125	0.00684936
5.67436218	0.00612147
5.68628311	0.00332283
5.69820404	0.00166886
5.71012497	0.00126762
5.72204590	0.00069762
5.73396683	0.00026135
5.74588776	0.00043396
5.75780869	0.00069374
5.76972961	0.00064397
5.78165054	0.00024926
5.79357147	0.00042025
5.80549240	0.00074195
5.81741333	0.00103093
5.82933426	0.00118333
5.84125519	0.00049841
5.85317612	0.00070105
5.86509705	0.00126358
5.87701797	0.00104024
5.88893890	0.00095898
5.90085983	0.00079655
5.91278076	0.00135451
5.92470169	0.00146835
5.93662262	0.00045495
5.94854355	0.00195587
5.96046448	0.01174533
5.97238541	0.04398273
5.98430634	0.07671808
5.99622726	0.08313750
6.00814819	0.08158424
6.02006912	0.06473080
6.03199005	0.02652409
6.04391098	0.00284289
6.05583191	0.00085757
6.06775284	0.00068019
6.07967377	0.00077358
6.09159470	0.00117923
6.10351563	0.00157072
6.11543655	0.00147798
6.12735748	0.00102992
6.13927841	0.00055364
6.15119934	0.00007259
6.16312027	0.00082656
6.17504120	0.00119143
6.18696213	0.00120739
6.19888306	0.00138054
6.21080399	0.00096741
6.22272491	0.00054858
6.23464584	0.00119670
6.24656677	0.00093306
6.25848770	0.00074023
6.27040863	0.00099098
6.28232956	0.00131298
6.29425049	0.00285654
6.30617142	0.00405561
6.31809235	0.00550850
6.33001328	0.00614271
6.34193420	0.00485433
6.35385513	0.00363208
6.36577606	0.00262233
6.37769699	0.00106160
6.38961792	0.00030203
6.40153885	0.00052315
6.41345978	0.00062647
6.42538071	0.00058454
6.43730164	0.00052128
6.44922256	0.00104913
6.46114349	0.00145004
6.47306442	0.00147195
6.48498535	0.00120078
6.49690628	0.00068182
6.50882721	0.00118926
6.52074814	0.00121211
6.53266907	0.00037595
6.54459000	0.00063638
6.55651093	0.00080450
6.56843185	0.00084535
6.58035278	0.00166967
6.59227371	0.00196095
6.60419464	0.00230190
6.61611557	0.00174029
6.62803650	0.00145687
6.63995743	0.00473377
6.65187836	0.00635864
6.66379929	0.00728263
6.67572021	0.00650387
6.68764114	0.00368939
6.69956207	0.00190249
6.71148300	0.00144769
6.72340393	0.00119163
6.73532486	0.00089509
