T,V1,V2,V3
+7.52600E-03,+1.64551659E+00,+32.70709826E+00,-23.97934E-03
+7.54000E-03,+1.64551659E+00,+32.76309484E+00,-24.26660E-03
+7.55400E-03,+1.64431768E+00,+32.80760077E+00,-26.49190E-03
+7.56800E-03,+1.64451869E+00,+32.85785203E+00,-26.49190E-03
+7.58200E-03,+1.64551659E+00,+32.95835454E+00,-26.49190E-03
+7.59600E-03,+1.64485621E+00,+33.00860580E+00,-26.49190E-03
+7.61000E-03,+1.64465520E+00,+33.07465268E+00,-26.49190E-03
+7.62400E-03,+1.64300403E+00,+33.15935957E+00,-26.10413E-03
+7.63800E-03,+1.64300403E+00,+33.20932607E+00,-26.49190E-03
+7.65200E-03,+1.64300403E+00,+33.20961082E+00,-26.49190E-03
+7.66600E-03,+1.64215688E+00,+33.25986208E+00,-26.49190E-03
+7.68000E-03,+1.64174775E+00,+33.30867273E+00,-26.49190E-03
+7.69400E-03,+1.64255889E+00,+33.36036459E+00,-26.49190E-03
+7.70800E-03,+1.64150361E+00,+33.42038140E+00,-26.49190E-03
+7.72200E-03,+1.64170461E+00,+33.51111836E+00,-26.49190E-03
+7.73600E-03,+1.64064934E+00,+33.56136962E+00,-26.49190E-03
+7.75000E-03,+1.64085034E+00,+33.61162088E+00,-26.49190E-03
+7.76400E-03,+1.64049147E+00,+33.66187213E+00,-26.49190E-03
+7.77800E-03,+1.64049147E+00,+33.76237465E+00,-26.49190E-03
+7.79200E-03,+1.63952958E+00,+33.81262590E+00,-26.49190E-03
+7.80600E-03,+1.63923518E+00,+33.81636138E+00,-26.49190E-03
+7.82000E-03,+1.63934280E+00,+33.91312842E+00,-26.70713E-03
+7.83400E-03,+1.63923518E+00,+33.96337967E+00,-26.49190E-03
+7.84800E-03,+1.63923518E+00,+34.01363093E+00,-26.49190E-03
+7.86200E-03,+1.63797890E+00,+34.08570816E+00,-26.49190E-03
+7.87600E-03,+1.63797890E+00,+34.12791923E+00,-26.49190E-03
+7.89000E-03,+1.63797890E+00,+34.21463596E+00,-24.26662E-03
+7.90400E-03,+1.63677999E+00,+34.21463596E+00,-26.37717E-03
+7.91800E-03,+1.63672262E+00,+34.30480369E+00,-24.49608E-03
+7.93200E-03,+1.63672262E+00,+34.36538973E+00,-26.49190E-03
+7.94600E-03,+1.63546634E+00,+34.38922582E+00,-26.49190E-03
+7.96000E-03,+1.63632772E+00,+34.45009634E+00,-26.49190E-03
+7.97400E-03,+1.63546634E+00,+34.51614350E+00,-26.49190E-03
+7.98800E-03,+1.63671551E+00,+34.56639475E+00,-26.47768E-03
+8.00200E-03,+1.63567446E+00,+34.61664601E+00,-26.49190E-03
+8.01600E-03,+1.63421006E+00,+34.66689727E+00,-26.49190E-03
+8.03000E-03,+1.63421006E+00,+34.71714852E+00,-26.49190E-03
+8.04400E-03,+1.63339893E+00,+34.76739978E+00,-23.97934E-03
+8.05800E-03,+1.63319792E+00,+34.81765104E+00,-26.49190E-03
+8.07200E-03,+1.63421006E+00,+34.91815355E+00,-26.49190E-03
+8.08600E-03,+1.63295378E+00,+34.91815355E+00,-26.49190E-03
+8.10000E-03,+1.63331265E+00,+34.95405007E+00,-26.49190E-03
+8.11400E-03,+1.63169750E+00,+35.06890732E+00,-26.49190E-03
+8.12800E-03,+1.63169750E+00,+35.13897471E+00,-26.49190E-03
+8.14200E-03,+1.63044121E+00,+35.13093452E+00,-24.56813E-03
+8.15600E-03,+1.63160410E+00,+35.21966109E+00,-23.97934E-03
+8.17000E-03,+1.63169750E+00,+35.26560791E+00,-23.97934E-03
+8.18400E-03,+1.63044121E+00,+35.32016360E+00,-26.49190E-03
+8.19800E-03,+1.62993159E+00,+35.35003005E+00,-23.97934E-03
+8.21200E-03,+1.62918493E+00,+35.42066612E+00,-23.97934E-03
+8.22600E-03,+1.63009656E+00,+35.47091737E+00,-23.97934E-03
+8.24000E-03,+1.62807230E+00,+35.52116863E+00,-23.97934E-03
+8.25400E-03,+1.62918493E+00,+35.56912557E+00,-23.97934E-03
+8.26800E-03,+1.62944330E+00,+35.58175440E+00,-26.49190E-03
+8.28200E-03,+1.62872557E+00,+35.67192240E+00,-23.97934E-03
+8.29600E-03,+1.62733274E+00,+35.72217366E+00,-25.30008E-03
+8.31000E-03,+1.62792865E+00,+35.75376602E+00,-26.49190E-03
+8.32400E-03,+1.62773475E+00,+35.86517144E+00,-26.10410E-03
+8.33800E-03,+1.62667237E+00,+35.92317868E+00,-23.97934E-03
+8.35200E-03,+1.62541609E+00,+35.96510555E+00,-23.97934E-03
+8.36600E-03,+1.62541609E+00,+36.00731662E+00,-25.67367E-03
+8.38000E-03,+1.62541609E+00,+36.04952768E+00,-25.27166E-03
+8.39400E-03,+1.62541609E+00,+36.09173875E+00,-23.97934E-03
+8.40800E-03,+1.62517194E+00,+36.13394982E+00,-23.97934E-03
+8.42200E-03,+1.62411666E+00,+36.22468622E+00,-23.97934E-03
+8.43600E-03,+1.62415981E+00,+36.26862321E+00,-26.17619E-03
+8.45000E-03,+1.62326239E+00,+36.31083427E+00,-23.97934E-03
+8.46400E-03,+1.62359994E+00,+36.37543999E+00,-23.97934E-03
+8.47800E-03,+1.62290353E+00,+36.42569125E+00,-23.97934E-03
+8.49200E-03,+1.62319793E+00,+36.47594251E+00,-24.56815E-03
+8.50600E-03,+1.62174065E+00,+36.52619376E+00,-23.97934E-03
+8.52000E-03,+1.62164725E+00,+36.57644502E+00,-23.97934E-03
+8.53400E-03,+1.62164725E+00,+36.66460319E+00,-23.97934E-03
+8.54800E-03,+1.62113763E+00,+36.70681425E+00,-22.96011E-03
+8.56200E-03,+1.62164725E+00,+36.74902532E+00,-23.97934E-03
+8.57600E-03,+1.62164725E+00,+36.82770130E+00,-23.97934E-03
+8.59000E-03,+1.62053462E+00,+36.87795256E+00,-24.26664E-03
+8.60400E-03,+1.62164725E+00,+36.87795256E+00,-24.09404E-03
+8.61800E-03,+1.62138889E+00,+36.96812084E+00,-23.97934E-03
+8.63200E-03,+1.62039096E+00,+37.01033191E+00,-23.97934E-03
+8.64600E-03,+1.61979505E+00,+37.00229172E+00,-23.97934E-03
+8.66000E-03,+1.62039096E+00,+37.07895759E+00,-23.97934E-03
+8.67400E-03,+1.61894078E+00,+37.17946010E+00,-26.10409E-03
+8.68800E-03,+1.61788550E+00,+37.17946010E+00,-23.97934E-03
+8.70200E-03,+1.61892658E+00,+37.27996261E+00,-26.49190E-03
+8.71600E-03,+1.61828751E+00,+37.27996261E+00,-23.97934E-03
+8.73000E-03,+1.61787840E+00,+37.35606063E+00,-23.97934E-03
+8.74400E-03,+1.61662212E+00,+37.38046513E+00,-23.97934E-03
+8.75800E-03,+1.61662212E+00,+37.52145252E+00,-23.97934E-03
+8.77200E-03,+1.61657896E+00,+37.48442002E+00,-23.89303E-03
+8.78600E-03,+1.61662212E+00,+37.53753290E+00,-23.97934E-03
+8.80000E-03,+1.61572469E+00,+37.63172141E+00,-23.97934E-03
+8.81400E-03,+1.61536584E+00,+37.68197267E+00,-23.97934E-03
+8.82800E-03,+1.61536584E+00,+37.73222392E+00,-22.98850E-03
+8.84200E-03,+1.61440397E+00,+37.78247518E+00,-23.97934E-03
+8.85600E-03,+1.61527243E+00,+37.83646275E+00,-23.97934E-03
+8.87000E-03,+1.61410956E+00,+37.88297769E+00,-23.97934E-03
+8.88400E-03,+1.61410956E+00,+37.93322895E+00,-23.97934E-03
+8.89800E-03,+1.61410956E+00,+37.98348021E+00,-23.97934E-03
+8.91200E-03,+1.61339895E+00,+38.05555827E+00,-23.97934E-03
+8.92600E-03,+1.61376489E+00,+38.13423398E+00,-22.15610E-03
+8.94000E-03,+1.61270961E+00,+38.18448523E+00,-26.20458E-03
+8.95400E-03,+1.61279593E+00,+38.23244273E+00,-23.97934E-03
+8.96800E-03,+1.61285328E+00,+38.32490505E+00,-23.97934E-03
+8.98200E-03,+1.61205635E+00,+38.33523900E+00,-23.97934E-03
+8.99600E-03,+1.61166143E+00,+38.38549026E+00,-23.97934E-03
+9.01000E-03,+1.61034071E+00,+38.43574152E+00,-23.97934E-03
+9.02400E-03,+1.61053463E+00,+38.48599277E+00,-23.97934E-03
+9.03800E-03,+1.61034780E+00,+38.58621164E+00,-23.97934E-03
+9.05200E-03,+1.60908443E+00,+38.58649529E+00,-23.97934E-03
+9.06600E-03,+1.60908443E+00,+38.68699780E+00,-25.67370E-03
+9.08000E-03,+1.60908443E+00,+38.73724906E+00,-23.97934E-03
+9.09400E-03,+1.60863926E+00,+38.78750031E+00,-23.97934E-03
+9.10800E-03,+1.60908443E+00,+38.87823617E+00,-24.46767E-03
+9.12200E-03,+1.60908443E+00,+38.88800283E+00,-26.40558E-03
