nm;arb.u
657.38;39.0
657.87;39.0
658.37;39.0
658.86;39.0
659.35;40.0
659.85;40.0
660.34;40.0
660.84;40.0
661.34;40.0
661.83;40.0
662.33;40.0
662.82;41.0
663.32;42.0
663.82;42.0
664.32;42.0
664.81;42.0
665.31;42.0
665.81;43.0
666.31;44.0
666.81;44.0
667.31;44.0
667.80;44.0
668.30;44.0
668.80;44.0
669.30;44.0
669.80;45.0
670.30;46.0
670.81;46.0
671.31;46.0
671.81;46.0
672.31;46.0
672.81;46.0
673.31;48.0
673.82;48.0
674.32;48.0
674.82;48.0
675.32;48.0
675.83;48.0
676.33;48.0
676.84;48.0
677.34;49.0
677.84;50.0
678.35;50.0
678.85;50.0
679.36;50.0
679.86;50.0
680.37;50.0
680.88;50.0
681.38;50.0
681.89;50.0
682.40;50.0
682.90;50.0
683.41;50.0
683.92;50.0
684.43;50.0
684.93;50.0
685.44;50.0
685.95;50.0
686.46;50.0
686.97;50.0
687.48;50.0
687.99;50.0
688.50;50.0
689.01;50.0
689.52;50.0
690.03;50.0
690.54;50.0
691.05;50.0
691.57;50.0
692.08;50.0
692.59;50.0
693.10;50.0
693.61;50.0
694.13;50.0
694.64;50.0
695.15;50.0
695.67;50.0
696.18;50.0
696.70;50.0
697.21;50.0
697.73;49.0
698.24;49.0
698.76;48.0
699.27;48.0
699.79;48.0
700.30;48.0
700.82;48.0
701.34;48.0
701.85;48.0
702.37;48.0
702.89;48.0
703.41;48.0
703.92;48.0
704.44;48.0
704.96;47.0
705.48;48.0
706.00;46.0
706.52;46.0
707.04;46.0
707.56;46.0
708.08;46.0
708.60;46.0
709.12;46.0
709.64;44.0
710.16;44.0
710.68;44.0
711.20;44.0
711.72;44.0
712.25;44.0
712.77;44.0
713.29;44.0
713.81;44.0
714.34;44.0
714.86;42.0
715.39;43.0
715.91;42.0
716.43;42.0
716.96;42.0
717.48;41.0
718.01;41.0
718.53;41.0
719.06;41.0
719.58;41.0
720.11;41.0
720.64;40.0
721.16;39.0
721.69;38.0
