nm;arb.u
653.93;41.0
654.42;41.0
654.91;41.0
655.40;41.0
655.90;41.0
656.39;41.0
656.88;41.0
657.38;41.0
657.87;41.0
658.37;41.0
658.86;41.0
659.35;41.0
659.85;42.0
660.34;42.0
660.84;42.0
661.34;42.0
661.83;42.0
662.33;43.0
662.82;43.0
663.32;43.0
663.82;43.0
664.32;43.0
664.81;43.0
665.31;43.0
665.81;43.0
666.31;43.0
666.81;43.0
667.31;43.0
667.80;43.0
668.30;45.0
668.80;45.0
669.30;45.0
669.80;45.0
670.30;45.0
670.81;45.0
671.31;45.0
671.81;46.0
672.31;46.0
672.81;46.0
673.31;46.0
673.82;46.0
674.32;46.0
674.82;46.0
675.32;47.0
675.83;47.0
676.33;47.0
676.84;46.0
677.34;46.0
677.84;46.0
678.35;46.0
678.85;46.0
679.36;46.0
679.86;47.0
680.37;46.0
680.88;46.0
681.38;46.0
681.89;46.0
682.40;46.0
682.90;46.0
683.41;46.0
683.92;47.0
684.43;47.0
684.93;47.0
685.44;47.0
685.95;47.0
686.46;47.0
686.97;47.0
687.48;47.0
687.99;47.0
688.50;46.0
689.01;47.0
689.52;46.0
690.03;46.0
690.54;46.0
691.05;46.0
691.57;46.0
692.08;46.0
692.59;46.0
693.10;46.0
693.61;46.0
694.13;46.0
694.64;47.0
695.15;46.0
695.67;46.0
696.18;46.0
696.70;46.0
697.21;46.0
697.73;46.0
698.24;46.0
698.76;46.0
699.27;46.0
699.79;46.0
700.30;46.0
700.82;46.0
701.34;46.0
701.85;46.0
702.37;46.0
702.89;46.0
703.41;46.0
703.92;46.0
704.44;45.0
704.96;45.0
705.48;46.0
706.00;45.0
706.52;46.0
707.04;45.0
707.56;45.0
708.08;45.0
708.60;45.0
709.12;45.0
709.64;45.0
710.16;44.0
710.68;44.0
711.20;44.0
711.72;44.0
712.25;44.0
712.77;43.0
713.29;44.0
713.81;44.0
714.34;45.0
714.86;44.0
715.39;44.0
715.91;43.0
716.43;43.0
716.96;43.0
717.48;43.0
718.01;43.0
718.53;43.0
719.06;43.0
719.58;43.0
720.11;43.0
720.64;41.0
721.16;38.0
721.69;35.0
